2020-10-02 18:17:51,066 p=6521 u=student n=ansible | changed: [bchd]
2020-10-02 18:17:55,937 p=6521 u=student n=ansible | TASK [kubeadm1.19withNodes : Starting CNI (Calico)] ********************************************************************************************************************
2020-10-02 18:17:55,938 p=6521 u=student n=ansible | changed: [bchd]
2020-10-02 18:17:57,810 p=6521 u=student n=ansible | TASK [kubeadm1.19withNodes : Get join command] *************************************************************************************************************************
2020-10-02 18:17:57,811 p=6521 u=student n=ansible | changed: [bchd]
2020-10-02 18:17:58,191 p=6521 u=student n=ansible | TASK [kubeadm1.19withNodes : print join] *******************************************************************************************************************************
2020-10-02 18:17:58,226 p=6521 u=student n=ansible | ok: [bchd] => {
    "kjoin.stdout": "kubeadm join 10.17.205.112:6443 --token hlx2ur.azpbhorw1tfof7m5     --discovery-token-ca-cert-hash sha256:672a8095680257a7ace95f07f9aae9c77abb6dac8a8238a016bdc89a6e2e9ac9 "
}
2020-10-02 18:17:58,744 p=6521 u=student n=ansible | TASK [kubeadm1.19withNodes : set_fact] *********************************************************************************************************************************
2020-10-02 18:17:58,747 p=6521 u=student n=ansible | ok: [bchd]
2020-10-02 18:17:58,932 p=6521 u=student n=ansible | ok: [node-01]
2020-10-02 18:17:58,998 p=6521 u=student n=ansible | ok: [node-02]
2020-10-02 18:17:59,005 p=6521 u=student n=ansible | ok: [node-03]
2020-10-02 18:17:59,171 p=6521 u=student n=ansible | TASK [kubeadm1.19withNodes : print join again] *************************************************************************************************************************
2020-10-02 18:17:59,178 p=6521 u=student n=ansible | ok: [bchd] => {
    "join_command": "kubeadm join 10.17.205.112:6443 --token hlx2ur.azpbhorw1tfof7m5     --discovery-token-ca-cert-hash sha256:672a8095680257a7ace95f07f9aae9c77abb6dac8a8238a016bdc89a6e2e9ac9 "
}
2020-10-02 18:18:17,475 p=6521 u=student n=ansible | TASK [kubeadm1.19withNodes : join nodes] *******************************************************************************************************************************
2020-10-02 18:18:17,488 p=6521 u=student n=ansible | changed: [node-01]
2020-10-02 18:18:17,571 p=6521 u=student n=ansible | changed: [node-02]
2020-10-02 18:18:18,206 p=6521 u=student n=ansible | changed: [node-03]
2020-10-02 18:18:19,639 p=6521 u=student n=ansible | TASK [kubeadm1.19withNodes : Get Metrics Server] ***********************************************************************************************************************
2020-10-02 18:18:19,646 p=6521 u=student n=ansible | [WARNING]: Consider using the get_url or uri module rather than running 'wget'.  If you need to use command because get_url or uri is insufficient you can add 'warn:
false' to this command task or set 'command_warnings=False' in ansible.cfg to get rid of this message.

2020-10-02 18:18:19,646 p=6521 u=student n=ansible | changed: [bchd]
2020-10-02 18:18:19,688 p=6521 u=student n=ansible | changed: [node-01]
2020-10-02 18:18:19,746 p=6521 u=student n=ansible | changed: [node-03]
2020-10-02 18:18:20,100 p=6521 u=student n=ansible | changed: [node-02]
2020-10-02 18:18:23,240 p=6521 u=student n=ansible | TASK [kubeadm1.19withNodes : Start Metrics Server] *********************************************************************************************************************
2020-10-02 18:18:23,242 p=6521 u=student n=ansible | changed: [bchd]
2020-10-02 18:18:25,004 p=6521 u=student n=ansible | TASK [kubeadm1.19withNodes : Get other Metrics Server bit] *************************************************************************************************************
2020-10-02 18:18:25,006 p=6521 u=student n=ansible | changed: [bchd]
2020-10-02 18:18:25,318 p=6521 u=student n=ansible | changed: [node-01]
2020-10-02 18:18:25,670 p=6521 u=student n=ansible | changed: [node-02]
2020-10-02 18:18:25,811 p=6521 u=student n=ansible | changed: [node-03]
2020-10-02 18:18:28,677 p=6521 u=student n=ansible | TASK [kubeadm1.19withNodes : Start other Metrics Server bit] ***********************************************************************************************************
2020-10-02 18:18:28,685 p=6521 u=student n=ansible | changed: [bchd]
2020-10-02 18:18:33,691 p=6521 u=student n=ansible | TASK [kubeadm1.19withNodes : Ingress Controller Setup] *****************************************************************************************************************
2020-10-02 18:18:33,694 p=6521 u=student n=ansible | changed: [bchd]
2020-10-02 18:18:36,510 p=6521 u=student n=ansible | TASK [kubeadm1.19withNodes : Baremetal] ********************************************************************************************************************************
